name,category,mechanic,force,level,equipment,direct_muscles,indirect_muscles
3/4 Sit-Up,strength,compound,pull,beginner,body only,abdominals,
90/90 Hamstring,stretching,,push,beginner,body only,hamstrings,calves
Ab Crunch Machine,strength,isolation,pull,intermediate,machine,abdominals,
Ab Roller,strength,compound,pull,intermediate,other,abdominals,shoulders
Adductor,stretching,isolation,static,intermediate,foam roll,adductors,
Adductor/Groin,stretching,,static,intermediate,,adductors,
Advanced Kettlebell Windmill,strength,isolation,push,intermediate,kettlebells,abdominals,glutes; hamstrings; shoulders
Air Bike,strength,compound,pull,beginner,body only,abdominals,
All Fours Quad Stretch,stretching,,static,intermediate,body only,quadriceps,quadriceps
Alternate Hammer Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Alternate Heel Touchers,strength,isolation,pull,beginner,body only,abdominals,
Alternate Incline Dumbbell Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Alternate Leg Diagonal Bound,plyometrics,compound,push,beginner,,quadriceps,abductors; adductors; calves; glutes; hamstrings
Alternating Cable Shoulder Press,strength,compound,push,beginner,cable,shoulders,triceps
Alternating Deltoid Raise,strength,isolation,push,beginner,dumbbell,shoulders,
Alternating Floor Press,strength,compound,push,beginner,kettlebells,chest,abdominals; shoulders; triceps
Alternating Hang Clean,strength,compound,pull,intermediate,kettlebells,hamstrings,biceps; calves; forearms; glutes; lower back; traps
Alternating Kettlebell Press,strength,compound,push,intermediate,kettlebells,shoulders,triceps
Alternating Kettlebell Row,strength,isolation,pull,intermediate,kettlebells,middle back,biceps; lats
Alternating Renegade Row,strength,compound,pull,expert,kettlebells,middle back,abdominals; biceps; chest; lats; triceps
Ankle Circles,stretching,isolation,pull,beginner,,calves,
Ankle On The Knee,stretching,,static,beginner,,glutes,
Anterior Tibialis-SMR,stretching,,static,intermediate,other,calves,
Anti-Gravity Press,strength,compound,push,beginner,barbell,shoulders,middle back; traps; triceps
Arm Circles,stretching,isolation,push,beginner,,shoulders,traps
Arnold Dumbbell Press,strength,compound,push,intermediate,dumbbell,shoulders,triceps
Around The Worlds,strength,compound,push,intermediate,dumbbell,chest,shoulders
Atlas Stone Trainer,strongman,compound,pull,intermediate,other,lower back,biceps; forearms; glutes; hamstrings; quadriceps
Atlas Stones,strongman,compound,pull,expert,other,lower back,abdominals; adductors; biceps; calves; forearms; glutes; hamstrings; middle back; quadriceps; traps
Axle Deadlift,strongman,compound,pull,intermediate,other,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps
Back Flyes - With Bands,strength,compound,pull,beginner,bands,shoulders,middle back; triceps
Backward Drag,strongman,compound,pull,beginner,other,quadriceps,calves; forearms; glutes; hamstrings; lower back
Backward Medicine Ball Throw,plyometrics,compound,push,beginner,medicine ball,shoulders,
Balance Board,strength,compound,,beginner,other,calves,hamstrings; quadriceps
Ball Leg Curl,strength,isolation,pull,beginner,exercise ball,hamstrings,calves; glutes
Band Assisted Pull-Up,strength,compound,,beginner,other,lats,abdominals; forearms; middle back
Band Good Morning,powerlifting,compound,pull,beginner,bands,hamstrings,glutes; lower back
Band Good Morning (Pull Through),powerlifting,compound,pull,beginner,bands,hamstrings,glutes; lower back
Band Hip Adductions,strength,isolation,pull,beginner,bands,adductors,
Band Pull Apart,strength,isolation,pull,beginner,bands,shoulders,middle back; traps
Band Skull Crusher,strength,isolation,push,beginner,bands,triceps,
